BEN;CAI INTERNATIONAL;SAN FRANCISCO, CA 94105;United States
BER;BERG MANUFACTURING;SPOKANE, WA 99212;United States
BES;BESTCHEM GROUP HOLDINGS CO.,LIMITED;WAN CHAI;Hong Kong, China
BEX;BLUE EXPRESS INC;SAKAI CITY;Japan
BEZ;YUTEK-M LLC;Severodonetsk;Ukraine
BFC;BENNINGER & FÖLL LIQUID LOGISTICS GMBH;ABSTATT;Germany
BFF;BAHAMAS FERRIES LTD.;Nassau;Bahamas
BFU;BEAVERFIT NORTH AMERICA LLC;Reno;United States
BFX;BAJA FERRIES;La Paz;Mexico
BGB;BERTSCHI AG;DUERRENAESCH;Switzerland
BGD;VK TRADING LIMITED;Mellieha;Malta
BGF;B.G.FREIGHT LINE B.V;ROTTERDAM;Netherlands
BGG;BRUNO SRL;GROTTAMINARDA;Italy
BGH;HRC SHIPPING SDN BHD;KLANG, SELANGOR;Malaysia
BGI;BROTHERS GAS BOTTLING AND DISTRIBUTION;Dubai;United Arab Emirates
BGK;BAYER AG;LEVERKUSEN;Germany
BGO;ORBITALA LTD;Sofia;Bulgaria
BGQ;BUZWAIR INDUSTRIAL GASES FACTORIES;Doha;Qatar
BGR;BUNDESANSTALT FUR GEOWISSENSCHAFTEN UND ROHSTOFFE;HANNOVER;Germany
BHC;BRIDGEHEAD CONTAINER SERVICES LTD;LIVERPOOL;United Kingdom
BHF;BEFAR GROUP CO.,LTD.;BINZHOU;China
BHL;BIG LIFT SHIPPING;AMSTERDAM;Netherlands
BHS;BUZWAIR GASES;Doha;Qatar
BIB;CORSYDE INTERNATIONAL GMBH & CO KG;BERLIN;Germany
BID;BERTSCHI AG;DUERRENAESCH;Switzerland
BIJ;SREETRANS LOGISTICS INDIA PVT LTD;Mumbai;India
BIM;BIMBO S.A. DE C.V.;Ciudad de México;Mexico
BIR;BUKARA;DUBAI;United Arab Emirates
BIS;BERMUDA INTERNATIONAL SHIPPING LTD;HAMILTON;Bermuda
BIT;MEEBERG CONTAINER SERVICE BV;Breda, Noord-Brabant;Netherlands
BJC;BOXJOIN CORPORATION;SEOUL;Korea, Republic of
BJH;SHANGHAI BAIJIN CHEMICAL GROUP CO LTD;SHANGHAI;China
BKB;L&T C.V.;'s-Hertogenbosch;Netherlands
BKD;JSC CTR OF OP OF SPACE GROUND BASED INF;MOSCOW;Russian Federation
BKM;BARENTS CONTAINER MANAGEMENT LTD;ARKHANGELSK;Russian Federation
BKW;ROYAL BOSKALIS WESTMINSTER N.V.;PAPENDRECHT;Netherlands
BLD;BLUERED BV;Waddinxveen;Netherlands
BLE;BELINKA PERKEMIJA  D.O.O.;Ljubljana-Crnuce;Slovenia
BLI;DELHI INTERNATIONAL CARGO TERMINAL PVT LTD;Mumbai;India
BLJ;AVANA GLOBAL FZCO;DUBAI;United Arab Emirates
BLK;BULKHAUL LTD;MIDDLESBROUGH CLEVELAND;United Kingdom
